,id,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Generation,combat_avg,defense_avg,offense_avg,balance,efficiency,Legendary,Faixa_Total
0,150,Mewtwo,Psychic,,106,110,90,154,90,130,680,1,114.8,95.33333333333331,131.33333333333334,0.7117117117117118,1.1333333333333333,True,9
1,149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600,1,101.8,95.33333333333331,104.66666666666669,0.8298368298368298,1.0,True,8
2,151,Mew,Psychic,,100,100,100,100,100,100,600,1,100.0,100.0,100.0,1.0,1.0,True,8
3,144,Articuno,Ice,Flying,90,85,100,95,125,85,580,1,98.0,105.0,88.33333333333333,0.8641975308641976,0.9666666666666668,True,7
4,145,Zapdos,Electric,Flying,90,90,85,125,90,100,580,1,98.0,88.33333333333333,105.0,0.8076923076923077,0.9666666666666668,True,7
5,146,Moltres,Fire,Flying,90,100,90,125,85,90,580,1,98.0,88.33333333333333,105.0,0.8125,0.9666666666666668,True,7
6,59,Arcanine,Fire,,90,110,80,100,80,95,555,1,93.0,83.33333333333333,101.66666666666669,0.8378378378378378,0.925,True,7
7,130,Gyarados,Water,Flying,95,125,79,60,100,81,540,1,89.0,91.33333333333331,88.66666666666667,0.5851648351648351,0.9,True,7
8,143,Snorlax,Normal,,160,110,65,65,110,30,540,1,76.0,111.66666666666669,68.33333333333333,0.6142857142857143,0.9,True,7
9,131,Lapras,Water,Ice,130,85,80,85,95,60,535,1,81.0,101.66666666666669,76.66666666666667,0.9565217391304348,0.8916666666666667,True,7
10,6,Charizard,Fire,Flying,78,84,78,109,85,100,534,1,91.2,80.33333333333333,97.66666666666669,0.8455056179775281,0.89,True,6
11,9,Blastoise,Water,,79,83,100,85,105,78,530,1,90.2,94.66666666666669,82.0,0.8954423592493298,0.8833333333333333,True,6
12,103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,1,87.0,85.0,91.66666666666669,0.7631578947368421,0.8833333333333333,True,6
13,3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,1,89.0,87.66666666666667,87.33333333333333,0.947945205479452,0.875,True,6
14,91,Cloyster,Water,Ice,50,95,180,85,45,70,525,1,95.0,91.66666666666669,83.33333333333333,0.6666666666666667,0.875,True,6
15,134,Vaporeon,Water,,130,65,60,110,95,65,525,1,79.0,95.0,80.0,0.803030303030303,0.875,True,6
